Date,Close/Last,Volume,Open,High,Low,,,
04/08/2024,$185.19,39221280,$186.90,$187.29,$184.81,,1.342,0.015
04/05/2024,$185.07,42373990,$182.38,$186.27,$181.97,,2.363,0.015
04/04/2024,$180.00,41624260,$184.00,$185.10,$180.00,,2.833,0.016
04/03/2024,$182.41,31046640,$179.90,$182.87,$179.80,,1.707,0.016
04/02/2024,$180.69,32611550,$179.07,$180.79,$178.38,,1.353,0.016
04/01/2024,$180.97,29174520,$180.79,$183.00,$179.95,,1.695,0.017
03/28/2024,$180.38,38051590,$180.17,$181.70,$179.26,,1.361,0.017
03/27/2024,$179.83,33272550,$179.88,$180.00,$177.31,,1.517,0.017
03/26/2024,$178.30,29658980,$180.15,$180.45,$177.95,,1.405,0.017
03/25/2024,$179.71,29815460,$178.01,$180.99,$177.24,,2.116,0.017
03/22/2024,$178.87,27995380,$177.75,$179.26,$176.75,,1.417,0.017
03/21/2024,$178.15,32824320,$179.99,$181.42,$178.15,,1.833,0.019
03/20/2024,$178.15,29947150,$176.14,$178.53,$174.64,,2.227,0.020
03/19/2024,$175.90,26880890,$174.22,$176.09,$173.52,,1.481,0.020
03/18/2024,$174.48,31250690,$175.80,$176.69,$174.28,,1.383,0.022
03/15/2024,$174.42,72147390,$176.64,$177.93,$173.90,,2.317,0.022
03/14/2024,$178.75,43705840,$177.69,$179.53,$176.47,,1.737,0.022
03/13/2024,$176.56,30772600,$175.90,$177.62,$175.55,,1.179,0.024
03/12/2024,$175.39,36610600,$173.50,$176.76,$171.98,,2.779,0.024
03/11/2024,$171.96,28484780,$174.31,$174.47,$171.47,,1.750,0.024
03/08/2024,$175.35,37893240,$176.44,$178.79,$174.33,,2.555,0.025
03/07/2024,$176.82,34063280,$174.83,$177.99,$173.72,,2.458,0.025
03/06/2024,$173.51,32090930,$175.54,$176.46,$173.26,,1.847,0.026
03/05/2024,$174.12,37228340,$176.93,$176.93,$173.30,,2.093,0.027
03/04/2024,$177.58,37381520,$177.53,$180.14,$177.49,,1.493,0.027
03/01/2024,$178.22,31981150,$176.75,$178.73,$176.07,,1.508,0.030
02/29/2024,$176.76,53805360,$173.01,$177.22,$172.85,,2.528,0.031
02/28/2024,$173.16,28180480,$172.44,$174.05,$172.27,,1.033,0.033
02/27/2024,$173.54,31141730,$174.08,$174.62,$172.86,,1.018,0.033
02/26/2024,$174.73,44368610,$175.70,$176.37,$174.26,,1.211,0.037
02/23/2024,$174.99,59715240,$174.28,$175.75,$173.70,,1.180,0.041
02/22/2024,$174.58,55392350,$173.10,$174.80,$171.77,,1.764,0.042
02/21/2024,$168.59,44575620,$168.94,$170.23,$167.14,,1.849,0.043
02/20/2024,$167.08,41980330,$167.83,$168.71,$165.74,,1.792,0.047
02/16/2024,$169.51,48107740,$168.74,$170.42,$167.17,,1.944,0.092
